360 180
5.3500E+01 8.8500E+01 -4.31976E+03
5.4500E+01 8.8500E+01 -4.31840E+03
5.5500E+01 8.8500E+01 -4.31672E+03
5.6500E+01 8.8500E+01 -4.31557E+03
5.7500E+01 8.8500E+01 -4.31043E+03
5.8500E+01 8.8500E+01 -4.30907E+03
5.9500E+01 8.8500E+01 -4.30395E+03
6.0500E+01 8.8500E+01 -4.30295E+03
6.1500E+01 8.8500E+01 -4.30247E+03
6.2500E+01 8.8500E+01 -4.30956E+03
6.3500E+01 8.8500E+01 -4.31876E+03
6.4500E+01 8.8500E+01 -4.34346E+03
6.5500E+01 8.8500E+01 -4.35673E+03
6.6500E+01 8.8500E+01 -4.37465E+03
6.7500E+01 8.8500E+01 -4.37294E+03
6.8500E+01 8.8500E+01 -4.37188E+03
6.9500E+01 8.8500E+01 -4.37420E+03
7.0500E+01 8.8500E+01 -4.37651E+03
7.1500E+01 8.8500E+01 -4.37420E+03
7.2500E+01 8.8500E+01 -4.37378E+03
7.3500E+01 8.8500E+01 -4.37329E+03
7.4500E+01 8.8500E+01 -4.37371E+03
7.5500E+01 8.8500E+01 -4.37598E+03
7.6500E+01 8.8500E+01 -4.37391E+03
7.7500E+01 8.8500E+01 -4.36020E+03
7.8500E+01 8.8500E+01 -4.32359E+03
7.9500E+01 8.8500E+01 -4.30907E+03
8.0500E+01 8.8500E+01 -4.29955E+03
8.1500E+01 8.8500E+01 -4.29379E+03
8.2500E+01 8.8500E+01 -4.29339E+03
8.3500E+01 8.8500E+01 -4.29386E+03
8.4500E+01 8.8500E+01 -4.29444E+03
8.5500E+01 8.8500E+01 -4.29548E+03
8.6500E+01 8.8500E+01 -4.29637E+03
8.7500E+01 8.8500E+01 -4.29695E+03
8.8500E+01 8.8500E+01 -4.29747E+03
8.9500E+01 8.8500E+01 -4.29859E+03
9.0500E+01 8.8500E+01 -4.29644E+03
9.1500E+01 8.8500E+01 -4.29395E+03
9.2500E+01 8.8500E+01 -4.29044E+03
9.3500E+01 8.8500E+01 -4.28733E+03
9.4500E+01 8.8500E+01 -4.28550E+03
9.5500E+01 8.8500E+01 -4.28044E+03
9.6500E+01 8.8500E+01 -4.27844E+03
9.7500E+01 8.8500E+01 -4.27316E+03
9.8500E+01 8.8500E+01 -4.27043E+03
9.9500E+01 8.8500E+01 -4.26485E+03
1.0050E+02 8.8500E+01 -4.26026E+03
1.0150E+02 8.8500E+01 -4.25611E+03
1.0250E+02 8.8500E+01 -4.24843E+03
1.0350E+02 8.8500E+01 -4.24403E+03
1.0450E+02 8.8500E+01 -4.24366E+03
1.0550E+02 8.8500E+01 -4.24826E+03
1.0650E+02 8.8500E+01 -4.25414E+03
1.0750E+02 8.8500E+01 -4.26226E+03
1.0850E+02 8.8500E+01 -4.26384E+03
1.0950E+02 8.8500E+01 -4.26341E+03
1.1050E+02 8.8500E+01 -4.26228E+03
1.1150E+02 8.8500E+01 -4.26134E+03
1.1250E+02 8.8500E+01 -4.25986E+03
1.1350E+02 8.8500E+01 -4.26057E+03
1.1450E+02 8.8500E+01 -4.25997E+03
1.1550E+02 8.8500E+01 -4.25937E+03
1.1650E+02 8.8500E+01 -4.25841E+03
1.1750E+02 8.8500E+01 -4.25793E+03
1.1850E+02 8.8500E+01 -4.25646E+03
1.1950E+02 8.8500E+01 -4.25691E+03
1.2050E+02 8.8500E+01 -4.25794E+03
1.2150E+02 8.8500E+01 -4.24975E+03
1.2250E+02 8.8500E+01 -4.23284E+03
1.2350E+02 8.8500E+01 -4.15311E+03
1.2450E+02 8.8500E+01 -4.08229E+03
1.2550E+02 8.8500E+01 -4.00916E+03
1.2650E+02 8.8500E+01 -3.90643E+03
1.2750E+02 8.8500E+01 -3.85832E+03
1.2850E+02 8.8500E+01 -3.77613E+03
1.2950E+02 8.8500E+01 -3.69049E+03
1.3050E+02 8.8500E+01 -3.37712E+03
1.3150E+02 8.8500E+01 -3.16140E+03
1.3250E+02 8.8500E+01 -2.97835E+03
1.3350E+02 8.8500E+01 -2.64522E+03
1.3450E+02 8.8500E+01 -2.46666E+03
1.3550E+02 8.8500E+01 -2.25275E+03
1.3650E+02 8.8500E+01 -2.17632E+03
1.3750E+02 8.8500E+01 -1.95294E+03
1.3850E+02 8.8500E+01 -1.79208E+03
1.3950E+02 8.8500E+01 -1.63602E+03
1.4050E+02 8.8500E+01 -1.32990E+03
1.4150E+02 8.8500E+01 -1.17016E+03
1.4250E+02 8.8500E+01 -1.03861E+03
1.4350E+02 8.8500E+01 -1.02968E+03
1.4450E+02 8.8500E+01 -1.25546E+03
1.4550E+02 8.8500E+01 -1.47631E+03
1.4650E+02 8.8500E+01 -1.66761E+03
1.4750E+02 8.8500E+01 -2.06126E+03
1.4850E+02 8.8500E+01 -2.26189E+03
1.4950E+02 8.8500E+01 -2.59323E+03
1.5050E+02 8.8500E+01 -2.66305E+03
1.5150E+02 8.8500E+01 -2.68054E+03
1.5250E+02 8.8500E+01 -2.69708E+03
1.5350E+02 8.8500E+01 -2.71150E+03
1.5450E+02 8.8500E+01 -2.73547E+03
1.5550E+02 8.8500E+01 -2.72001E+03
1.5650E+02 8.8500E+01 -2.72714E+03
1.5750E+02 8.8500E+01 -2.73074E+03
1.5850E+02 8.8500E+01 -2.74463E+03
1.5950E+02 8.8500E+01 -2.74703E+03
1.6050E+02 8.8500E+01 -2.72758E+03
1.6150E+02 8.8500E+01 -2.69266E+03
1.6250E+02 8.8500E+01 -2.66633E+03
1.6350E+02 8.8500E+01 -2.56404E+03
1.6450E+02 8.8500E+01 -2.46536E+03
1.6550E+02 8.8500E+01 -2.36531E+03
1.6650E+02 8.8500E+01 -2.15996E+03
1.6750E+02 8.8500E+01 -2.05211E+03
1.6850E+02 8.8500E+01 -1.83630E+03
1.6950E+02 8.8500E+01 -1.75734E+03
1.7050E+02 8.8500E+01 -1.71355E+03
1.7150E+02 8.8500E+01 -1.60725E+03
1.7250E+02 8.8500E+01 -1.51210E+03
1.7350E+02 8.8500E+01 -1.38476E+03
1.7450E+02 8.8500E+01 -1.30483E+03
1.7550E+02 8.8500E+01 -1.18967E+03
