360 180
250.50000 88.50000 -2.51217e+03
251.50000 88.50000 -2.39606e+03
252.50000 88.50000 -2.18092e+03
253.50000 88.50000 -2.06868e+03
254.50000 88.50000 -2.11604e+03
255.50000 88.50000 -2.08193e+03
256.50000 88.50000 -1.93164e+03
257.50000 88.50000 -1.87387e+03
258.50000 88.50000 -1.77766e+03
259.50000 88.50000 -1.71832e+03
260.50000 88.50000 -1.63685e+03
261.50000 88.50000 -1.43305e+03
262.50000 88.50000 -1.40638e+03
263.50000 88.50000 -1.45507e+03
264.50000 88.50000 -1.53290e+03
265.50000 88.50000 -1.70061e+03
266.50000 88.50000 -1.77821e+03
267.50000 88.50000 -1.82271e+03
268.50000 88.50000 -1.85038e+03
269.50000 88.50000 -1.84860e+03
270.50000 88.50000 -1.82807e+03
271.50000 88.50000 -1.81493e+03
272.50000 88.50000 -1.80944e+03
273.50000 88.50000 -1.82084e+03
274.50000 88.50000 -1.82669e+03
275.50000 88.50000 -1.89738e+03
276.50000 88.50000 -1.87126e+03
277.50000 88.50000 -1.80260e+03
278.50000 88.50000 -1.79161e+03
279.50000 88.50000 -1.69408e+03
280.50000 88.50000 -1.62518e+03
281.50000 88.50000 -1.56133e+03
282.50000 88.50000 -1.48375e+03
283.50000 88.50000 -1.46461e+03
284.50000 88.50000 -1.49208e+03
285.50000 88.50000 -1.53990e+03
286.50000 88.50000 -1.60805e+03
287.50000 88.50000 -1.76368e+03
288.50000 88.50000 -1.79748e+03
289.50000 88.50000 -1.75455e+03
290.50000 88.50000 -1.70315e+03
291.50000 88.50000 -1.59450e+03
292.50000 88.50000 -1.54993e+03
293.50000 88.50000 -1.51108e+03
294.50000 88.50000 -1.50874e+03
295.50000 88.50000 -1.61159e+03
296.50000 88.50000 -1.95328e+03
297.50000 88.50000 -2.15951e+03
298.50000 88.50000 -2.52208e+03
299.50000 88.50000 -2.60901e+03
300.50000 88.50000 -2.71576e+03
301.50000 88.50000 -2.93316e+03
302.50000 88.50000 -2.97535e+03
303.50000 88.50000 -2.95104e+03
304.50000 88.50000 -2.89695e+03
305.50000 88.50000 -2.83214e+03
306.50000 88.50000 -2.78165e+03
307.50000 88.50000 -2.72870e+03
308.50000 88.50000 -2.47319e+03
309.50000 88.50000 -2.50498e+03
310.50000 88.50000 -2.86299e+03
311.50000 88.50000 -3.07401e+03
312.50000 88.50000 -3.33673e+03
313.50000 88.50000 -3.83219e+03
314.50000 88.50000 -3.97048e+03
315.50000 88.50000 -4.03240e+03
316.50000 88.50000 -4.01907e+03
317.50000 88.50000 -4.00117e+03
318.50000 88.50000 -3.99851e+03
319.50000 88.50000 -3.99353e+03
320.50000 88.50000 -4.00490e+03
321.50000 88.50000 -4.01115e+03
322.50000 88.50000 -4.02041e+03
323.50000 88.50000 -4.03156e+03
324.50000 88.50000 -4.08304e+03
325.50000 88.50000 -4.11513e+03
326.50000 88.50000 -4.14169e+03
327.50000 88.50000 -4.17167e+03
328.50000 88.50000 -4.18109e+03
329.50000 88.50000 -4.19514e+03
330.50000 88.50000 -4.19993e+03
331.50000 88.50000 -4.20494e+03
332.50000 88.50000 -4.21401e+03
333.50000 88.50000 -4.21731e+03
334.50000 88.50000 -4.22391e+03
335.50000 88.50000 -4.22694e+03
336.50000 88.50000 -4.23200e+03
337.50000 88.50000 -4.23501e+03
338.50000 88.50000 -4.23696e+03
339.50000 88.50000 -4.24161e+03
340.50000 88.50000 -4.24162e+03
341.50000 88.50000 -4.24571e+03
342.50000 88.50000 -4.24801e+03
343.50000 88.50000 -4.25161e+03
344.50000 88.50000 -4.25306e+03
345.50000 88.50000 -4.25484e+03
346.50000 88.50000 -4.25849e+03
347.50000 88.50000 -4.26049e+03
348.50000 88.50000 -4.26397e+03
349.50000 88.50000 -4.26603e+03
350.50000 88.50000 -4.26691e+03
351.50000 88.50000 -4.26897e+03
352.50000 88.50000 -4.26945e+03
353.50000 88.50000 -4.27103e+03
354.50000 88.50000 -4.27090e+03
355.50000 88.50000 -4.27303e+03
